fold,model,max_depth,min_samples_leaf,max_features,n_estimators,val_rmse,trial,is_best,learning_rate,subsample,colsample_bytree,reg_lambda,min_child_weight
test,xgboost,4.0,,,74.0,0.9218425611588649,32.0,0,0.08,0.7,0.9,5.0,3.0
test,xgboost,4.0,,,194.0,0.9175423019585025,33.0,0,0.03,0.6,0.8,0.5,5.0
test,xgboost,6.0,,,320.0,0.9077596566309047,34.0,0,0.02,0.7,0.8,2.0,5.0
test,xgboost,5.0,,,401.0,0.9188494095781162,35.0,0,0.02,0.9,0.6,2.0,1.0
test,xgboost,8.0,,,300.0,0.9122411636930222,36.0,0,0.02,0.8,0.6,1.0,1.0
test,xgboost,4.0,,,88.0,0.918049258473466,37.0,0,0.08,0.6,0.7,2.0,5.0
test,xgboost,3.0,,,87.0,0.9134513387228524,38.0,0,0.08,0.7,0.9,1.0,3.0
test,xgboost,4.0,,,779.0,0.9231234637254754,39.0,0,0.01,0.8,0.7,5.0,5.0
test,xgboost,4.0,,,182.0,0.9119662555171875,40.0,0,0.03,0.9,0.8,0.5,3.0
test,xgboost,4.0,,,152.0,0.9172713932639152,41.0,0,0.05,0.8,0.8,5.0,3.0
test,xgboost,8.0,,,293.0,0.906085377261947,42.0,0,0.02,0.7,0.6,1.0,3.0
test,xgboost,4.0,,,341.0,0.9159006297048417,43.0,0,0.02,0.7,0.8,5.0,3.0
test,xgboost,3.0,,,793.0,0.925381239299205,44.0,0,0.01,0.8,0.7,5.0,1.0
test,xgboost,4.0,,,65.0,0.9170486379543517,45.0,0,0.08,0.7,0.9,2.0,10.0
test,xgboost,8.0,,,74.0,0.915956213554267,46.0,0,0.08,0.9,0.8,1.0,1.0
test,xgboost,4.0,,,334.0,0.9210610570336678,47.0,0,0.02,0.6,0.7,0.5,1.0
test,xgboost,8.0,,,178.0,0.9098646417546691,48.0,0,0.03,0.9,0.8,2.0,1.0
test,xgboost,5.0,,,219.0,0.9177870626006692,49.0,0,0.02,0.9,0.9,0.5,5.0
test,xgboost,8.0,,,75.0,0.9053812934157758,50.0,0,0.08,0.6,0.7,2.0,10.0
test,xgboost,6.0,,,314.0,0.9126109582819834,51.0,0,0.02,0.9,0.7,0.5,3.0
test,xgboost,4.0,,,211.0,0.9174026079656166,52.0,0,0.03,0.7,0.6,0.5,10.0
test,xgboost,4.0,,,91.0,0.9252335625434134,53.0,0,0.08,0.8,0.7,2.0,1.0
test,xgboost,4.0,,,155.0,0.9148498987993507,54.0,0,0.03,0.6,0.9,0.5,10.0
test,xgboost,5.0,,,814.0,0.9192976345828177,55.0,0,0.01,0.9,0.7,1.0,1.0
test,xgboost,8.0,,,285.0,0.9084662314218315,56.0,0,0.02,0.8,0.6,0.5,3.0
test,xgboost,8.0,,,273.0,0.9049326828545825,57.0,0,0.02,0.9,0.8,2.0,3.0
test,xgboost,4.0,,,298.0,0.9094989526452639,58.0,0,0.02,0.6,0.8,1.0,3.0
test,xgboost,6.0,,,106.0,0.9070064662695618,59.0,0,0.05,0.7,0.8,2.0,10.0
test,xgboost,3.0,,,64.0,0.9169476962121695,60.0,0,0.08,0.6,0.8,2.0,5.0
test,xgboost,3.0,,,123.0,0.9203072954015283,61.0,0,0.05,0.7,0.9,5.0,10.0
test,xgboost,5.0,,,84.0,0.9192076362444077,62.0,0,0.08,0.6,0.9,2.0,10.0
test,xgboost,6.0,,,129.0,0.9150275638429151,63.0,0,0.05,0.9,0.8,1.0,3.0
test,xgboost,6.0,,,87.0,0.9167364361324849,64.0,0,0.05,0.6,0.9,0.5,10.0
test,xgboost,6.0,,,552.0,0.9117541046506418,65.0,0,0.01,0.7,0.8,1.0,10.0
test,xgboost,4.0,,,402.0,0.9240402619016367,66.0,0,0.02,0.6,0.7,2.0,10.0
test,xgboost,8.0,,,101.0,0.9120966714076516,67.0,0,0.05,0.9,0.9,2.0,3.0
test,xgboost,8.0,,,266.0,0.9100073141152992,68.0,0,0.02,0.9,0.8,1.0,10.0
test,xgboost,5.0,,,428.0,0.9229052907732171,69.0,0,0.02,0.7,0.6,0.5,10.0
test,xgboost,5.0,,,145.0,0.9207561570720947,70.0,0,0.05,0.6,0.8,2.0,1.0
test,xgboost,3.0,,,172.0,0.9191643154968341,71.0,0,0.05,0.7,0.6,5.0,3.0
test,xgboost,8.0,,,177.0,0.9102427041494353,72.0,0,0.03,0.7,0.8,1.0,1.0
test,xgboost,8.0,,,214.0,0.9051168160340959,73.0,0,0.03,0.7,0.8,5.0,10.0
test,xgboost,8.0,,,573.0,0.9072089943832619,74.0,0,0.01,0.9,0.9,5.0,1.0
