taxon_name,random_forest_m1,xgboost_m1,random_forest_m2,xgboost_m2,random_forest_m3,xgboost_m3,random_forest_m4,xgboost_m4
Copsychus saularis,0.2650406122491475,0.36970033938213487,0.6818344729283317,0.664000222145033,0.6549344480713482,0.6330636076132385,0.5863994185859047,0.6177122185293522
Corallus caninus,0.06847387150895969,0.08392140284603054,0.2990831240435723,0.26933974231447405,0.4286913888888561,0.4114709682665673,0.37951678745620626,0.38039243475244927
Corvus frugilegus,0.1354079693921569,0.11934765161269789,0.5068823465568079,0.5486484513590506,0.652028466893356,0.820559139241659,0.7127650747872856,0.9470746752669063
Corydalus cornutus,0.0852615451410162,0.10175306712291982,0.14680070014485727,0.16307314499608372,0.15288215030866215,0.16832448920712165,0.10706786335489805,0.13155413876698913
Coryphaenoides armatus,0.02729179912523984,0.05295833217730642,0.10237256296894802,0.11848083673596248,0.09564626348204901,0.18521608143381726,0.09104636195223008,0.13282746412293925
Coturnix pectoralis,0.32235122147184553,0.3244975644557637,0.6982906558540882,0.6385676909253539,0.868503553082907,0.847511286995332,0.7379529745942384,0.8530074219185615
Cricetulus migratorius,0.13470848672469043,0.10362254938725075,0.3606635612894119,0.522527300314543,0.972645626985738,0.8894093157262858,0.638153769624038,0.6738354868844906
Cricetus cricetus,0.23794996230146367,0.13305525813341504,0.7703102167439525,0.5942267859463722,0.9088702433180239,0.7717200779909582,0.7743021803221769,0.5839118166546583
Crocidura flavescens,0.25566432934236766,0.3445698535101174,0.782817098631468,0.7468898561241103,0.9694330991369311,0.9866685034300545,0.6639660532045514,0.4684323105198968
Crocidura olivieri,0.2696943111482228,0.290803044600443,0.6240444494660656,0.6880276846488148,0.8369128996444942,0.8805726161508837,0.5320847981147664,0.5751609348537109
Crocidura poensis,0.18171439183438873,0.2517139484447029,0.7128578218683205,0.6641584413641688,0.9050372777967549,0.8390307583563885,0.46478423441858346,0.4894455156018405
Cryptobranchus alleganiensis,0.6818686455750778,0.6053556319140235,0.8456193239790725,0.7560911677000095,0.5416684372505897,0.32577788816054076,0.34601454583403324,0.2158374208926239
Cyclopes didactylus,0.29881867993121,0.3141785098869221,0.8150251945427275,0.8423672471862695,0.716869720983577,0.7029505960300697,0.9609237530270729,0.8914670339764399
Cyclothone microdon,0.09443584730640274,0.09328738373242473,0.244435223728917,0.39809246765310186,0.23333684746778952,0.25151919687048824,0.28160251055617785,0.36699677495927113
Cylisticus convexus,0.4924108148775358,0.4640802000108857,0.7952840437748668,0.7883542227642868,0.8812684901637092,0.9097547434774258,0.8250823734105448,0.906132920533099
Cynopterus brachyotis,0.28808750644039277,0.3579337327832646,0.7753737958008456,0.8496264620899444,0.9936888324515092,0.9231191838988592,0.6514620779948427,0.7091715799542063
Cyprinus carpio,0.4181524416422445,0.4287941872118852,0.41413063899520597,0.41764167168449545,0.5194453786664065,0.5154009071857568,0.5337479028120119,0.5342291598448303
Cystosoma saundersii,0.2803303827791382,0.27825572452699254,0.9130289477696489,0.8693384439933768,0.7606706859894158,0.9075455034778404,0.967108739409587,0.8584015164922094
Dasymutilla gloriosa,0.032247813054198944,0.05021053882157701,0.15725010905887857,0.138102643627823,0.15085351597737634,0.1503429960134098,0.10975320039901518,0.08070870514549616
Dendragapus obscurus,0.04544050004014971,0.04205028782143819,0.5233342066852107,0.6738249807721296,0.7711969032576321,0.7497204804863196,0.8158052177348979,0.7305348715865055
Dendrotriton bromeliacius,0.11326430656495323,0.11333282892751569,0.35525033929355754,0.32167747264797275,0.40186554615967934,0.5585291748513758,0.39451699783836364,0.9380721974644605
Desmodillus auricularis,0.27854989514770184,0.11418965187372587,0.704096647867047,0.7387823178969166,0.9562813755994308,0.7737934762490122,0.8423894984633674,0.6907719753351214
Desmodus rotundus,0.2332315480542568,0.14988652084039528,0.6681607332134352,0.4657832324025657,0.7520215282979508,0.8073244879768119,0.83330319650555,0.6290968080358795
Desmognathus fuscus,0.3374964608327138,0.6028692306038558,0.8522331928140794,0.8985257706096945,0.7441796479155127,0.6512824161500911,0.7853891255908703,0.6216531226760241
Diomedea exulans,0.4811829197670357,0.37784419901827027,0.5464982683034167,0.7473708604791094,0.5694648877227714,0.6285292168996272,0.564148140662925,0.7257755672450822
Dipodillus dasyurus,0.29766729414205867,0.3468706893754942,0.6998280867934449,0.9059029202425659,0.6906154841725272,0.6723606561209936,0.9164887498030312,0.8581666579225427
Dipodomys agilis,0.2225535627663277,0.18392702422851487,0.7148315876105273,0.5020591010255346,0.9444451495310972,0.934044050279293,0.8463559896709671,0.8179915518353703
Dipsas albifrons,0.04544062872198036,0.08233352859930211,0.7937834404404066,0.9732358568153707,0.9616306040487995,0.7795932718103116,0.6866085424245231,0.7669343715289322
Dipsosaurus dorsalis,0.8249757626761586,0.7112681603927766,0.24892673574702248,0.7302797557745424,0.49698589023491113,0.8815918500625447,0.6658910824416411,0.9701469325727631
Dryophytes versicolor,0.7411042700729707,0.45789011413991965,0.7433366140495878,0.48103850229511735,0.3508760721772437,0.25425697254316854,0.6861324879409608,0.646538261566068
Echiichthys vipera,0.3192386404377273,0.5611711181469092,0.4814478101463625,0.32626937003625645,0.6504595012550147,0.4991165032502376,0.4177670996941183,0.32746787537817573
Echinosorex gymnura,0.20367887850435165,0.14863031658960033,0.577825877721744,0.6064195262350498,0.8523936025394123,0.7990167075007184,0.987913138657625,0.7182272793189126
Echymipera rufescens,0.5273872932739775,0.11467229609004177,0.8630283836460245,0.9422364530472972,0.9151023847298823,0.7945628291870702,0.8559762471387464,0.8549023640618335
Electrona antarctica,0.024026933123706625,0.03308273532720284,0.37001520801317145,0.5829755303606348,0.41365148183055916,0.5408381616485478,0.4528890492467983,0.34982124750371113
Elephantulus edwardii,0.12964611790546765,0.13434075399322765,0.8125051227370362,0.7879208310000957,0.8645284838106916,0.9072254531626417,0.930054165189619,0.7698327685595743
Elephantulus intufi,0.30705730098373485,0.34348399095166304,0.7542847620079149,0.5095227724518169,0.8592790788383174,0.9089643337326785,0.9363791154331667,0.761933850278706
Elephantulus myurus,0.22580507514304005,0.18275263608699827,0.669330107187267,0.6681677622465528,0.8860858797743368,0.9403606701693905,0.942379647165356,0.6449665011503477
Eleutherodactylus coqui,0.19183939243132733,0.24938967822565136,0.9912477538208203,0.8861609997861287,0.9691133573740526,0.8135003043182295,0.9724559516118705,0.7737766182068
Emberiza citrinella,0.14518689820684455,0.13784854913822334,0.47484977404571416,0.358126277757721,0.7543851510499531,0.7954919652775108,0.7589829064479693,0.7987983682949066
Enteroctopus dofleini,0.03127389162506129,0.039827162951619595,0.0976736674755462,0.09361173226204657,0.08325729968753293,0.08861286302679551,0.07798625943144388,0.08066501703808872
Erythrocebus patas,0.23647796326572415,0.26657184110257387,0.987275393016411,0.8730703679461389,0.928138490566012,0.9253094287497158,0.939026677594623,0.8769952628342931
Erythrodiplax connata,0.7443319347102949,0.5013202998487036,0.5588127110235571,0.7198156390037138,0.5883254039624828,0.6661112975407717,0.5506247351437138,0.5560819477676939
Estrilda troglodytes,0.07094463894512669,0.03993172090990806,0.48670752683934576,0.24405638753216316,0.5710217574899936,0.6598625067152823,0.7610002368049749,0.6816751907693511
Eudyptes pachyrhynchus,0.5261366710497615,0.22919770248717283,0.048777413231526685,0.05026765212338567,0.1727466831566807,0.8845003317994312,0.11898319613379785,0.07318281471998982
Eulemur fulvus,0.4256544238224144,0.4460014654713127,0.7423747372062838,0.7727215446259356,0.7246682685236651,0.707789876171068,0.8000309780981137,0.715347168518798
Euoticus elegantulus,0.12962953124040208,0.11091538232771816,0.43648635858574475,0.4103397151027819,0.7120347428455018,0.7785346846112723,0.5438354312910451,0.4756394325801929
Euphausia pacifica,0.48193312823895446,0.5674928767927719,0.5063378209569221,0.6185631987291581,0.5037505567606443,0.5407503043816613,0.5039063358763257,0.5484888888446302
Eurycea bislineata,0.3916786660757362,0.5218483043082418,0.19422135247520153,0.2745214360732739,0.24670491670550052,0.16393984759893787,0.1934224246131061,0.14369074023458916
Ficedula hypoleuca,0.20169659405413373,0.22934172641196865,0.37450195635696987,0.4527788589927024,0.8837966184864656,0.9980233606600528,0.857939636811725,0.9961495565692481
Florisuga mellivora,0.02494392065781724,0.022935813336733155,0.09927344649643313,0.06130194528119504,0.31483162446391455,0.3413280603858492,0.2877835103731031,0.42090300554929055
Fossa fossana,0.18026332703108772,0.2571548259408462,0.7215406919332052,0.8836608609328243,0.8069352672052736,0.9244271946241012,0.795097414652169,0.9205044956326423
Gadus chalcogrammus,0.22188836531096276,0.31664049010586603,0.5456579995777221,0.6729285829227554,0.6196625013525723,0.7587957520305854,0.49090113001109736,0.513983813111662
Gadus ogac,0.28239416747806817,0.32226293636949715,0.45089951974859704,0.6179841832802989,0.6534837213062527,0.5343877793254652,0.6847500470726864,0.4203877720317882
Gammarus fossarum,0.12424550450641765,0.14192870784001388,0.5406468690008621,0.6461026275753556,0.5362691065275527,0.6824777998299687,0.5414315132518246,0.5707276613651807
Geomys bursarius,0.22993536935924797,0.18080469608593902,0.7433841409286113,0.4664997451539319,0.9681868916041726,0.9622669862640565,0.8309218831653885,0.8946615178461046
Gerbillus gerbillus,0.16838584173064072,0.10699876745303458,0.8129348173947035,0.5776824704921882,0.9742375901889861,0.9187730787864274,0.7710764978597128,0.7829227294356853
Gilchristella aestuaria,0.68775056153272,0.6975511379267398,0.5801392407950867,0.5955859927031679,0.7455348883734201,0.7536433059906903,0.6057382414270273,0.7539558302678295
