taxon_name,M1-R,M-MTE,M2-R,M4-R,M4-PGLS,M1-RF,M2-RF,M3-RF,M4-RF,M1-XGB,M2-XGB,M3-XGB,M4-XGB,Residual-RF,Residual-XGB,M3-R
Peromyscus californicus,0.2081135716826919,0.42852856736374967,0.43462590145279195,0.3282868904437255,0.45504703927274504,0.3330489139753363,0.8737944657275707,0.8138404132815673,0.9084978046455545,0.23951245544097535,0.8169765288081055,0.8598486197972969,0.6887725327860341,0.8789431282446113,0.8295682861406461,0.8625126789828303
Petrocephalus catostoma,0.32341537165194834,0.25596318417864056,0.371445166712294,0.494053062065176,0.12442307288450043,0.9676877967814366,0.8191332094741192,0.6946155140020075,0.6264792859651028,0.6295402269280979,0.6734754851111369,0.4452517976523283,0.33528220978784573,0.27962306713951746,0.3126574820147372,0.4969246705175843
Petrosaurus mearnsi,0.16485193641117746,0.17449966688427904,0.19810259383928128,0.26099684994577776,0.08966527476051168,0.07939619671102346,0.5734531159222601,0.6547931467963171,0.4845419695269674,0.07037963219772922,0.6440832940167557,0.9368372390106054,0.9811065864659685,0.5910138410624034,0.6130635746012693,0.656931954354632
Phodopus sungorus,0.11717363400916495,0.22927629692523038,0.21685579178395947,0.17210718090986893,0.26758793799084535,0.16722333361676728,0.49276272174287755,0.7445292518735399,0.49954443133565124,0.16938105296099656,0.4533428327205578,0.709738006270021,0.3813223709536569,0.6751073251024204,0.7382123922724005,0.6120581432954513
Phoebastria immutabilis,0.3185636742883339,0.20103187975098263,0.3936269562428032,0.2972467084555165,0.24160921314022968,0.13492055328708666,0.6628626372532131,0.7744178963070558,0.6648397599482245,0.17241266860395799,0.5794787047263834,0.9199227380675671,0.7406051772649657,0.9800756339830345,0.8503461949149751,0.6606452864066779
Phormia regina,0.17202556738044528,0.834548346724119,0.29200939727465397,0.2505775494760816,0.6754788529981888,0.1766229763923178,0.43846341341668477,0.4526031884721863,0.4333387687928651,0.17729055848758407,0.4913025737735114,0.5309131933215757,0.6053599212114331,0.5385153728166524,0.9441820248129793,0.2923081900586816
Phylloscopus sibilatrix,0.07109719971387944,0.12915817536154248,0.10357083423031666,0.7319682489526143,0.1899446925504618,0.10703309271294875,0.4433059000833306,0.7554592613442174,0.8676865519870405,0.10469072174139343,0.40584185796851097,0.7747122496518462,0.8009653745330975,0.9834176967004425,0.9785837543853516,0.858926617524256
Phylloscopus trochilus,0.06863218154655717,0.12118305675008076,0.0995380417082646,0.6782789083894958,0.17725098769840267,0.0782213147844273,0.34342388066622764,0.9861495005695015,0.9653820423369048,0.08834799879517165,0.3400007513678203,0.9918794816131346,0.9707608257657367,0.8559186078427055,0.861793747149121,0.8085877900665613
Phyllostomus discolor,0.18726705669511126,0.555639877905997,0.5260307735740213,0.38896628127639876,0.5198615938942355,0.27453699019714234,0.67428621562924,0.8573348324199952,0.6384413502881847,0.38294666461690463,0.6644275734789105,0.8746858204260665,0.4904258703101665,0.7290532303774193,0.8861472204210754,0.6535760995367472
Phyllotis magister,0.19178409374883962,0.3548134515686411,0.3783926641777887,0.2937344361695118,0.3952704876337227,0.224337153268501,0.6402536391568405,0.8973218969767542,0.7303973650701551,0.16629643277879558,0.7565510922811223,0.8968294004774673,0.4922669291253292,0.9222235826386656,0.9780948494862194,0.8656927202401348
Physosterna cribripes,0.767373222194363,0.4907469140992313,0.8432165083280477,0.855919674855061,0.31037091488395374,0.5695617863588495,0.9360901187813447,0.7712613160732003,0.8978558898377695,0.469730821143774,0.900573137699538,0.840339702668955,0.9174978268925489,0.7872020011732065,0.7688050493102646,0.7660743472769942
Planigale tenuirostris,0.15361338953180953,0.5593909207203904,0.41526045431000885,0.323873121533115,0.5772285270413585,0.8016276476078019,0.8131406584623212,0.641822645447484,0.7448943558616732,0.2799431303582515,0.8145719645079944,0.9286370164240481,0.4893992614220246,0.7179846665933587,0.7055193425321038,0.7861904586629087
Plethodon cinereus,0.09759545367549832,0.0766476112341817,0.14160980981841215,0.644718814543728,0.030225803639155394,0.1322643780318072,0.12114195804677809,0.22495529830360048,0.2997641998696606,0.13220280144087068,0.15532736768660488,0.3906272939099694,0.5808377274357035,0.6262105058285239,0.7284526814215205,0.42706699474238674
Plethodon glutinosus,0.13191505121163824,0.11506255656276954,0.15381631109939325,0.5078517558048143,0.056979330434882604,0.34069835078722205,0.4207048542180405,0.6996618708551596,0.6273408117111318,0.3238765189055997,0.4974540087042404,0.6459138745376821,0.9600396411969421,0.8319702660871541,0.8918033670897616,0.7082796996831774
Podomys floridanus,0.13409579615048003,0.1940184400512632,0.18854315033617886,0.16008156989572753,0.27319983401594145,0.11822486213647035,0.305981267429548,0.8353895670039956,0.7446224742081167,0.08805106904989306,0.29943713845534453,0.7802473442052841,0.9955109475543967,0.7330077351750142,0.8452211439763356,0.6228303654519664
