pipeline,split,model,algo,params,train_R2_mean,train_R2_sd,train_RMSE_mean,train_RMSE_sd,test_R2_mean,test_R2_sd,test_RMSE_mean,test_RMSE_sd
avg,random,m3,xgb,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.1}",0.9846635446611354,0.0007009250093802746,0.18959255228539482,0.003734282758845055,0.9391346572741794,0.010768116417195259,0.3744183446735553,0.02342848785747313
avg,random,m3,xgb,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.05}",0.9639045979622948,0.0012303782496443081,0.2908874868137798,0.002922790100294682,0.945624125082517,0.010623314844566531,0.35353488396520283,0.0234188955036827
avg,random,m3,xgb,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.1}",0.970211447575393,0.0006991198968655467,0.26428692377409585,0.0014843116069791372,0.9440701009402062,0.010927237701490329,0.3585487295375643,0.024407594930116863
avg,random,m3,xgb,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05}",0.9711320212122434,0.0007918839258879626,0.2601622024114819,0.002125531328079894,0.9448848390022494,0.010396892895019183,0.35600907112416386,0.02361389294587496
avg,random,m3,xgb,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1}",0.9772888738665756,0.0008436187357957702,0.23073776116835587,0.003453291424786036,0.9416703110371921,0.01122082605374462,0.3662546787420357,0.02477305873345879
avg,random,m3,xgb,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.05}",0.9824691856948073,0.0005972652680800871,0.20273881871905836,0.003323599893186942,0.9421292003703083,0.010315691571028482,0.3651070871723009,0.02192026428377096
avg,random,m3,xgb,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1}",0.9871979955786303,0.0005407957631859595,0.1732374001048269,0.0036084735935892464,0.9370665429867797,0.011227062759089895,0.3806946333318679,0.024243977411670593
avg,random,m3,rf,"{'n_estimators': 300, 'max_depth': 6, 'min_samples_leaf': 1}",0.9608094907610274,0.001736567665934816,0.3030600465476868,0.0044579325016103205,0.9397283446706721,0.011473102188065567,0.3722632463046552,0.024586237014711364
avg,random,m3,rf,"{'n_estimators': 300, 'max_depth': 6, 'min_samples_leaf': 3}",0.9578881345096842,0.0019883899240664862,0.3141393860798407,0.005112897478443167,0.9389253520553726,0.011498369942629958,0.3748132829797348,0.023963887318230688
avg,random,m3,rf,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 1}",0.9843559541771116,0.0008905556763525637,0.19143656794123456,0.004004596032334694,0.9394050131414657,0.014432172195043875,0.371966034831646,0.03412300400229149
avg,random,m3,rf,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 3}",0.972076573452078,0.0015310332270231143,0.25577087537962856,0.00511432313600133,0.9396047826106109,0.013810391281230239,0.37173143848021023,0.03131717109067331
avg,random,m3,rf,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 1}",0.9914965268020337,0.0005384411145303918,0.14112334863814566,0.0035802104941541164,0.93722149429469,0.014918675812983872,0.3786303500967496,0.03458891154335465
avg,random,m3,rf,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 3}",0.9738726460744027,0.0014016926504056453,0.2474130442804639,0.004770104667239481,0.9392728665697334,0.013958389070723857,0.37272924020137616,0.03153062902146875
avg,random,m4,lm,{},0.9298394387574642,0.0028676824797519204,0.40551962867465485,0.0059113586510103145,0.925997784966975,0.01369577378979555,0.41298950121691236,0.025417148992513093
avg,random,m4,xgb,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05}",0.9581882658911468,0.0017603293302764708,0.31304239244681675,0.004346148563179996,0.9419298576644731,0.010500423077049157,0.36557931582320535,0.02337221256109413
avg,random,m4,xgb,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1}",0.9644716545483691,0.0019072638433586379,0.28851408442634663,0.005892116906385321,0.9433634273904001,0.010598449684054228,0.3608758017839812,0.02440714005681178
avg,random,m4,xgb,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05}",0.9659552659890741,0.0015742934444117416,0.28245839526373573,0.004642801639101489,0.9437875608290336,0.011057160386531855,0.35929365676082775,0.02589931478802712
avg,random,m4,xgb,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.1}",0.9717156189253313,0.001406418464785507,0.2574522306881659,0.0053877488196722315,0.943356046860902,0.01058893124279409,0.36090816284612126,0.024247221312084743
avg,random,m4,xgb,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.05}",0.9780233187656803,0.0011074925547890078,0.22693099610695122,0.004684463744548578,0.9408692212055069,0.0111033756772692,0.36872737912804265,0.024864255348828974
avg,random,m4,xgb,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.1}",0.9826753595855692,0.0009521423182313928,0.2014725988175167,0.00468960386537703,0.9387090355494584,0.010751284494519652,0.37569707944820385,0.02352529615439946
avg,random,m4,xgb,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.05}",0.9620543063984514,0.0016602822689991026,0.29821338739804215,0.004584245702677928,0.9430567870714999,0.010227063514036266,0.3620392887046431,0.023034157058305117
avg,random,m4,xgb,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.1}",0.9679810199409203,0.0016510664070106022,0.2739080527019856,0.005621264130513157,0.9430528521338932,0.01049142239847518,0.3619229262182725,0.024142461181801037
avg,random,m4,xgb,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05}",0.9697730877317084,0.001352614066012614,0.26615956216283926,0.004504026648953654,0.9436521586168842,0.010705444573462071,0.3598807173233993,0.024930741590581475
avg,random,m4,xgb,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1}",0.9750770223414967,0.001291873177904466,0.2416658680758566,0.005477766838646868,0.9420733867900012,0.010152023294311452,0.36525058475071914,0.022305380710177684
avg,random,m4,xgb,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.05}",0.9810820904100309,0.0010433663608593144,0.21053438102925837,0.005041925565293318,0.9395560309839839,0.010773662727360338,0.37301286680752577,0.023975560134615187
avg,random,m4,xgb,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1}",0.9851721954486881,0.0008666087500229914,0.1863824070483188,0.0048331499712077905,0.9373422130732848,0.010619576909990217,0.3800006918849698,0.02306706529780589
avg,random,m4,rf,"{'n_estimators': 300, 'max_depth': 6, 'min_samples_leaf': 1}",0.9577211850549261,0.0019585127631682997,0.3147670241208226,0.005082319326415008,0.9308312348767869,0.014361241185940435,0.39837195193031133,0.029359785136937273
avg,random,m4,rf,"{'n_estimators': 300, 'max_depth': 6, 'min_samples_leaf': 3}",0.9543842931964808,0.0021135405432095027,0.32695527449005407,0.005417450966369057,0.9296033327313398,0.014841932158230485,0.4018453037838336,0.030079364813405497
