class,order,family,Genus,species,wet_Mass_g,wet_Mass_kg,BMR,BMR_unit,temperature,temperature_unit,Reference,taxon_name,pc1,pc2,pc3,pc4,pc5,log_mass,log_BMR,inv_kT
Amphibia,Gymnophiona,Dermophiidae,Geotrypetes,seraphini,2.0,0.002,0.0025602673953715,W,20.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Geotrypetes seraphini,-5600.944687226376,4753.1010653213625,0.9317971370077824,-0.3051730905500273,0.0005170529689169,-6.214608098422191,-5.967643574628332,39.5871292029482
Amphibia,Caudata,Plethodontidae,Gyrinophilus,porphyriticus,7.0,0.007,0.0087172222222222,W,15.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Gyrinophilus porphyriticus,-5126.818361196847,-1622.5901421773983,27.34615537120438,-1.5259705381676765,0.0022057096609492,-4.961845129926823,-4.742454644307328,40.274047981413375
Amphibia,Caudata,Plethodontidae,Hydromantes,platycephalus,2.0,0.002,0.0047883333333333,W,15.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Hydromantes platycephalus,-5126.818361196847,-1622.5901421773983,27.34615537120438,-1.5259705381676765,0.0022057096609492,-6.214608098422191,-5.341572875219001,40.274047981413375
Amphibia,Anura,Hyperoliidae,Hyperolius,viridiflavus,1.0,0.001,0.0054508918740167,W,20.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Hyperolius viridiflavus,-5126.818361196847,-1622.5901421773983,27.34615537120438,-1.5259705381676765,0.0022057096609492,-6.907755278982137,-5.211976037087061,39.5871292029482
Amphibia,Anura,Bufonidae,Incilius,alvarius,174.0,0.174,1.1899099581007155,W,26.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Incilius alvarius,-5126.818361196847,-1622.5901421773983,27.34615537120438,-1.5259705381676765,0.0022057096609492,-1.7486999797676082,0.173877638799079,38.79313697424123
Amphibia,Anura,Ranidae,Lithobates,catesbeianus,403.0,0.403,0.7248034407025956,W,20.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Lithobates catesbeianus,-5126.818361196847,-1622.5901421773983,27.34615537120438,-1.5259705381676765,0.0022057096609492,-0.908818717035454,-0.3218547771584048,39.5871292029482
Amphibia,Caudata,Proteidae,Necturus,maculosus,102.0,0.102,0.0387977777777777,W,15.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Necturus maculosus,-5126.818361196847,-1622.5901421773983,27.34615537120438,-1.5259705381676765,0.0022057096609492,-2.282782465697866,-3.24939230776173,40.274047981413375
Amphibia,Caudata,Salamandridae,Notophthalmus,viridescens,1.0,0.001,0.0027011111111111,W,15.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Notophthalmus viridescens,-5126.818361196847,-1622.5901421773983,27.34615537120438,-1.5259705381676765,0.0022057096609492,-6.907755278982137,-5.914092067990328,40.274047981413375
Amphibia,Anura,Hylidae,Osteopilus,septentrionalis,16.0,0.016,0.1156601112404471,W,21.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Osteopilus septentrionalis,-5126.818361196847,-1622.5901421773983,27.34615537120438,-1.5259705381676765,0.0022057096609492,-4.135166556742356,-2.1570994644641206,39.45254776761606
Amphibia,Caudata,Plethodontidae,Plethodon,glutinosus,4.0,0.004,0.0045105048172519,W,22.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Plethodon glutinosus,-5126.818361196847,-1622.5901421773983,27.34615537120438,-1.5259705381676765,0.0022057096609492,-5.521460917862246,-5.401346198859748,39.31887828508983
