class,order,family,Genus,species,wet_Mass_g,wet_Mass_kg,BMR,BMR_unit,temperature,temperature_unit,Reference,taxon_name,pc1,pc2,pc3,pc4,pc5
Amphibia,Anura,Myobatrachidae,Crinia,signifera,0.4519999999999999,0.000452,0.000949652,W,25.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Crinia signifera,-2836.5673668860463,234.1000423076803,-2017.757836102996,-549.7817874540093,170.41390811095334
Amphibia,Caudata,Cryptobranchidae,Cryptobranchus,alleganiensis,0.621,0.000621,0.000827793,W,25.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Cryptobranchus alleganiensis,-3286.444941342096,4085.601787903296,1647.6246432295866,-162.46776478374986,-3111.7092684939817
Amphibia,Anura,Dendrobatidae,Dendrobates,auratus,11.0,0.011,0.0032779999999999,W,25.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Dendrobates auratus,-2836.5673668860463,234.1000423076799,-2017.757836102996,-549.7817874540088,170.4139081109535
Amphibia,Caudata,Plethodontidae,Dendrotriton,bromeliacius,0.5899999999998999,0.0005899999999999,8.023999999999999e-05,W,15.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Dendrotriton bromeliacius,-3286.444941342096,4085.601787903296,1647.6246432295866,-162.46776478374986,-3111.7092684939817
Amphibia,Caudata,Plethodontidae,Desmognathus,fuscus,1.77,0.00177,0.000885,W,20.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Desmognathus fuscus,-3286.444941342096,4085.601787903296,1647.6246432295866,-162.46776478374986,-3111.7092684939817
Amphibia,Caudata,Plethodontidae,Desmognathus,monticola,2.09,0.00209,0.0004974199999999,W,20.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Desmognathus monticola,-3286.444941342096,4085.601787903296,1647.6246432295866,-162.46776478374986,-3111.7092684939817
Amphibia,Caudata,Plethodontidae,Desmognathus,quadramaculatus,1.6,0.0016,0.0002368,W,5.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Desmognathus quadramaculatus,-3286.444941342096,4085.601787903296,1647.6246432295866,-162.46776478374986,-3111.7092684939817
Amphibia,Caudata,Ambystomatidae,Dicamptodon,ensatus,23.41,0.02341,0.00091299,W,15.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Dicamptodon ensatus,-3286.444941342096,4085.601787903296,1647.6246432295866,-162.46776478374986,-3111.7092684939817
Amphibia,Anura,Alytidae,Discoglossus,pictus,101.25,0.10125,0.00729,W,20.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Discoglossus pictus,-2836.5673668860463,234.1000423076803,-2017.757836102996,-549.7817874540093,170.41390811095334
Amphibia,Anura,Hylidae,Dryophytes,arenicolor,7.779999999999999,0.00778,0.0135761,W,20.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Dryophytes arenicolor,-2836.5673668860463,234.1000423076803,-2017.757836102996,-549.7817874540093,170.41390811095334
Amphibia,Anura,Hylidae,Dryophytes,chrysoscelis,3.37,0.00337,0.00166815,W,10.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Dryophytes chrysoscelis,-2836.5673668860463,234.1000423076803,-2017.757836102996,-549.7817874540093,170.41390811095334
Amphibia,Anura,Hylidae,Dryophytes,cinereus,3.9,0.0039,0.0008228999999999,W,25.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Dryophytes cinereus,-2836.5673668860463,234.1000423076803,-2017.757836102996,-549.7817874540093,170.41390811095334
Amphibia,Anura,Hylidae,Dryophytes,gratiosus,1.15,0.00115,0.00070265,W,29.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Dryophytes gratiosus,-2836.5673668860463,234.1000423076803,-2017.757836102996,-549.7817874540093,170.41390811095334
Amphibia,Anura,Hylidae,Dryophytes,squirellus,2.27,0.00227,0.00049486,W,27.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Dryophytes squirellus,-2836.5673668860463,234.1000423076803,-2017.757836102996,-549.7817874540093,170.41390811095334
Amphibia,Anura,Hylidae,Dryophytes,versicolor,2.2,0.0022,0.0020174,W,19.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Dryophytes versicolor,-2836.5673668860463,234.1000423076803,-2017.757836102996,-549.7817874540093,170.41390811095334
Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus,coqui,30.6999999999999,0.0306999999999999,0.0063241999999999,W,20.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Eleutherodactylus coqui,-2836.5673668860463,234.1000423076803,-2017.757836102996,-549.7817874540093,170.41390811095334
Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus,portoricensis,4.059999999999899,0.0040599999999999,0.0009297399999999,W,15.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Eleutherodactylus portoricensis,-2836.5673668860463,234.1000423076803,-2017.757836102996,-549.7817874540093,170.41390811095334
Amphibia,Anura,Leptodactylidae,Engystomops,pustulosus,2.9,0.0029,0.001885,W,25.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Engystomops pustulosus,-2836.5673668860463,234.1000423076803,-2017.757836102996,-549.7817874540093,170.41390811095334
