9speciesGH
Cryptomys mechowi
Cryptomys sp.
Ctenomys australis
Ctenomys fulvus
Ctenomys maulinus
Ctenomys opimus
Ctenomys peruanus
Ctenomys talarum
Ctenopharyngodon idella
Ctenopharyngodon idellus
Ctenophorus nuchalis
Ctenotus labillardieri
Cuculus canorus
Culex tarsalis
Cuniculus paca
Cyanomitra veroxii
Cyanothece PCC 7822
Cyclagras gigas
Cyclocephala sp.
Cyclocephala sp. 1
Cyclodina macgregori
Cyclopes didactylus
Cyclorana platycephala
Cyclosa conica
Cyclothone acclinidens
Cyclothone microdon
Cyclura nubila
Cylisticus convexus
Cynomys ludovicianus
Cynopterus brachyotis
Cyphocaris richardi
Cyphocaris sp
Cypholoba bihamata
Cypholoba chanleri
Cypholoba sp.
Cypholoba sp. 1
Cypholoba tenuicollis
Cypholoba tetrastigma
Cypholoba trilunata
Cypridina hilgendorfii
Cyprinella lutrensis
Cyprinodon variegatus variegatus
Cyprinus carpio
Cyprinus carpio carpio
Cystosoma saundersii
Dactylopterus volitans
Damon annulatipes
Danio rerio
Daphnia ambigua
Daphnia magma
Daphnia pulex
Dascyllus aruanus
Dascyllus reticulatus
Dasyatis sabina
Dasycercus cristicauda
Dasylabris sp. 1
Dasymutilla gloriosa
Dasyprocta azarae
Dasyprocta leporina
Dasyuroides byrnei
Dasyurus geoffroii
Dasyurus hallucatus
Dasyurus maculatus
Dasyurus viverrinus
Decipisagitta decipiens
Deilephila elpenor
Deilephila euphorbiae
Delftia acidovorans
Dendrobates auratus
Dendrocoris contaminatus
Dendrolagus matschiei
Dermacentor andersoni
Dermacentor variabilis
Desmodillus auricularis
Desmodus rotundus
Desmognathus fuscus
Desmognathus monticola
Desmognathus ochrophaes
Desmognathus ochrophaeus
Desmognathus quadramaculatus
Desulfobulbus propionicus
Desulfovibrio desulfuricans
Desulfovibrio gigas
Desulfovibrio salexigens
Diadophis punctatus
Diaemus youngi
Diaphus theta
Diastylis sp. 1
Dicamptodon ensatus
Dicentrarchus labrax
Diceroprocta apache
Dicrostonyx groenlandicus
Dictyostelium discodeum
Dicuspiditermes nemorosus
Dicuspiditermes santschii
Didelphis marsupialis
Didelphis virginiana
Dikerogammarus haemobaphes
Diphylla ecaudata
Diplocapsis sp. 1
Diplodactylus galeatus
Diplodactylus intermedius
Diplodus sargus sargus
Diplometopon zarudnyi
Dipodillus dasyurus
Dipodomys agilis
Dipodomys deserti
Dipodomys merriami
Dipodomys microps
Dipodomys panamintinus
Dipsas albifrons
Dipsosaurus dorsalis
Dirphea agis
Discoglossus pictus
Disseta grandis
Disseta scopularis
Ditylum brightwellii
Djerboa furcipes
Dobsonia anderseni
Dobsonia minor
Dobsonia moluccensis
Dobsonia praedatrix
Dolichotis salinicola
Dorosoma cepedianum
Dosidicus gigas
Drepanis coccinea
Dromaius novaehollandiae
Dromiciops gliroides
Drosophila americana
Drosophila melanogaster
Drosophila mimica
Drosophila nikananu
Drosophila nikkananu
Drosophila repleta
Drosophila virilis
Dryoctenes scrupulosa
Dunaliella salina
Dunaliella tertiolecta
Dyscinetus sp.
Dyscinetus sp. 1
Eacles imperialis
Eburia sp.
Eburia sp. 1
Echeneis naucrates
Echiichthys vipera
Echinosorex gymnura
Echymipera kalubu
Echymipera rufescens
Eciton hamatum
Eciton rufa
Ectemnorhinus marioni
Ectemnorhinus similis
Edrotes ventricosus
Egernia cunninghami
Eimeria acervulina
Eimeria stiedae
Eimeria tenella
Eira barbara
Eirene mollis
Elaphe guttata
Electrona antarctica
Eledone cirrhosa
Eledonella pygmaea
Eleodes armata
Eleodes grandicollis
Eleodes sp.
Eleodes sp. 1
Eleodes tenebrosa
Elephantulus brachyrhynchus
Elephantulus edwardii
Elephantulus intufi
Elephantulus myurus
Elephantulus rozeti
Elephantulus rufescens
Eleutherodactylus coqui
Eleutherodactylus portoricensis
Elgaria multicarinatus
Eligmodontia typus
Embiotoca lateralis
Emiliania huxleyi
Encheliophis homei
Encoptolophus s. costalis
Encoptolophus sordidus
Endotrypanum schaudinni
Engraulis japonicus
Enhydra lutris
Ensatina eschscholtzi
Entamoeba hystolitica
Enterobacter aerogenes
Enterobacter cloacae
Enterococcus cecorum
Enterococcus faecalis
Enterococcus sp. 1
Enterococcus sp. RfL6
Enyaliopsis petersi
Enyo ocypete
Eonycteris spelaea
Eopsaltria australis
Epicrates cenchria
Epicrius mollis
Epinephelus akaara
Epiphysa arenicola
Equus Asinus
Eremitalpa granti
Erimyzon oblongus
Erinaceus concolor
Erinaceus europaeus
Erinnyis ello
Erinnyis oenotrus
Eriphia spinifrons
Erodius nanus
Erpetoichthys calabaricus
Erythemis simplicicollis
Erythrodiplax berenice
Erythrodiplax connata
Eryx colubrinus
Escherichia coli
Escherichia coli MG1655
Escherichia coli W3110
Esomus danricus
Esox lucius
Esox masquinongy
Etheostoma blennioides
Euatideus giesbrechti
Euaugaptilus antarcticus
Euaugaptilus magnus
Euaugaptilus nodifrons
Eublaberus posticus
Euborellia annulipes
Eucalanus attenuatus
Eucalanus bungii
Eucalanus crassus
Eucalanus elongatus
Eucalanus marina
Eucalanus monachus
Eucalanus mucronatus
Eucalanus subcrassus
Euchaeta antarctica
Euchaeta marina
Euchaeta plana
Euchirella amoena
Euchirella bitumida
Euchirella maxima
Euchirella rostrata
Euconocephalus nasutus
Eucyllus unicolor
Eucyllus vagans
Eudynamys scolopacea
Eudyptes pachyrhynchus
Eudyptula minor
Eugaster loricatus
Eugenes fulgens
Euglena gracilis
Euglyphis sp.
Euglyphis sp. 1
Eukrohnia bathypelagica
Eukrohnia fowleri
Eukrohnia hamata
Eulampis jugularis
Eulemur fulvus
Eumeces fasciatus
Eumeces inexpectatus
Eumeces obsoletus
Eumeces skiltonianus
Eumops perotis
Eunectes murinus
Eunectes notaeus
Euphausia crystallorophias
Euphausia mutica
Euphausia pacifica
Euphausia superba
Euphausia tricantha
Euphractus sexcinctus
Eurycea bislineata
Eurycea longicauda
Eurycea multiplicata
Eurycea nana
Eurycea neotenes
Eurycea pterophila?
Eurymera monticulosa
Eurythenes gryllus
Eusattus dubius
Euschides luctata
Eusirus perdentatus
Eutamias amoenus luteiventris
Eutamias minimus borealis
Eutamias minimus oreocetes
Euterpina acutifrons
Euthemisto compressa
Euthemisto libellula
Euthynnus affinis
Evarthrus sodalis
Exodon paradoxus
Ferrobacillus ferrooxidans
Fidicina mannifera
Flaccisagitta hexaptera
Flavobacterium capsulatum
Florisuga mellivora
Forelius foetidus
Formica exsecta
Formica fusca
Formica fusca var. subaenescens
Formica occulta
Formica pratensis
Fossa fossana
Fragilaria crotonensis
Francisella tularensis
Frontinella pyramitela
Frontonia leucas
Fukomys mechowi
Fulica atra
Fundulus grandis grandis
Fundulus heteroclitus heteroclitus
Fundulus parvipinnis
Fundulus similis
Funisciurus congicus
GHherbs
Gadus morhua
Gadus morhua (species in domain Eukaryota)
Gadus ogac
Gaetanus antarcticus
Gaetanus kruppi
Gaetanus pileatus
Gaetanus tenuispinus
Galea musteloides
Galerella sanguinea
Galiteuthis phyllura
Galleria mellonella
Gambusia affinis
Gambusia holbrooki
Gammarus duebeni
Gammarus fossarum
Gammarus locusta
Gammarus oceanicus
Gammarus salinus
Gammarus zaddachi
Garthia gaudichaudi
Gasterosteus aculeatus
Gasterosteus aculeatus aculeatus
Gastrophryne carolinensis
Gastrophryne carolinesis
Gaussia princeps
Gaussia princeps (males)
Gecarcinus lateralis
Gecarcoidea natalis
Gekko gecko
Genetta tigrina
Gennadas kempi /Petalidium foliaceum
Gennadas propinquus
Genyagnus monopterygius
Geobacillus L300
Geobacillus thermoglucosidasus
Geogale aurita
Geomys bursarius
Geomys pinetis
Georychus capensis
Geotrupes sp. 1
Geotrupes spiniger
Geotrypetes seraphani
Geotrypetes seraphini
Gerbilliscus afra
Gerbilliscus leucogaster
Gerbillurus paeba
Gerbillurus setzeri
Gerbillurus tytonis
Gerbillurus vallinus
Gerbillus andersoni
Gerbillus nanus
Gerbillus pusillus
Gerrhonotus multicarinatus
Gigantocypris agassizii
Gigantocypris mulleri
Gilchristella aestuarius
Gillichthys mirabilis
Girella nigricans
Gliciphila melanops
Globitermes globosus
Gloeobacter violaceus
Gloeothece sp. PCC 6909
Glossina morsitans
Glossina pallidipes
Glossogobius giuris
Glossophaga longirostris
Glossophaga soricina
Glyphocrangon vicaria
Glyptonotus antarcticus
Gnathonemus petersii
Gnathophausia gigas
Gnathophausia gracilis
Gnathophausia ingens
Gnathophausia zoea
Gobio gobio
Gobionotothen gibberifrons
Gobius paganellus
Gonatus onyx
Gonatus pyros
Gondogeneia antarctica
Gonotodes antillensis
Gonyaulax polyedra
Gonyaulax tamarensis
Gracilinanus microtarsus
Graomys griseoflavus
Graphiurus ocularis
Griburius sp.
Griburius sp. 1
Griburius sp. 2
Gromphadorhina chopardi
Gromphadorhina portentosa
Gromphadorihna portentosa
Gryllotalpa australis
Gygis alba
Gymnocephalus cernuus
Gymnodinium nelsoni
Gymnodraco acuticeps
Gymnoscopelus braueri
Gymnoscopelus opisthopterus
Gyrinophilus danielsi
Gyrinophilus porphyrictus
Gyrinophilus porphyriticus
Haemophilus influenzae
Haemophilus parainfluenzae
Haliscera bigelowi
Halitrehees maasi
Halobacterium salinarum
Halomonas halodenitrificans
Haloptilus longicornis
Hapigia simplex
Harpagifer georgianus
Havilanditermes atripennis
Hedydipna collaris
Helicocranchia pfeferi
Helicops modestus
Heliophobius argenteocinereus
Helius waitei
Helius waiti
Heloderma horridum
Heloderma suspectum
Hemichromis bimaculatus
Hemidactylus frenatus
Hemiechinus auritus
Hemigrapsus nudus
Hemigrapsus oregonensis
Hemilepistus elegans
Hemirhabdus grimaldii
Herpestes javanicus
Heterocephalus glaber
Heterohyrax brucei
Heterokrohnia murina
Heteromys anomalus
Heteromys desmarestianus
Heteropneustes fossilis
Heterorhabdus farrani
Heterotermes tenuior
Himatione sanguinea
Hippocampus hippocampus
Hippodamia convergens
Hippoglossoides platessoides
Hipporhinus tenuegranosus
Hipposideros cervinus
Hipposideros diadema
Hipposideros galeritus
Hipposideros maggietaylorae
Hirundo tahitica
Histioteuthis heteropsis
Histioteuthis hoylei
Histiotus velatus
Holthuisana transversa
Homallotermes eleanorae
Homarus americanus
Homonota gaudichaudii
Hophlosphyrum griseus
Hoplerythrinus unitaeniatus
Hoplodactylus maculatus
Hospitalitermes hospitalis
Hybognathus nuchalis
Hydrochoeris hydrochaeris
Hydromantes platycephalus
Hydromantes sp. 1
Hydromedion sparsutum
Hydromys chrysogaster
Hyla arborea
Hyla arenicolor
Hyla cadaverina
Hyla chrysoscelis
Hyla cinerea
Hyla crepitans
Hyla crucifer
Hyla gratiosa
Hyla maxima
Hyla regilla
Hyla squiirella
Hyla squirella
Hyla versicolor
Hylesia praeda
Hylesia sp.
Hylesia sp. 1
Hylobius abietis
Hylomys suillus
Hymenodora frontalis
Hypera postica
Hyperchirica nausica
Hypererythrops sp. 1
Hyperia galba
Hyperia gaudichaudii
Hyperia sp. 1
Hyperiella antarctica
Hyperolius marmoratus
Hyperolius parallelus
Hyperolius tuberilinguis
Hyperolius viridiflavus
Hypotermes xenotermites
Hypothymis azurea
Hysteropterum sp. 1
Hystrix africaeaustralis
Ichthyomyzon fossor
Ictalurus punctatus
Idotea baltica basteri
Iguana iguana
Illex illecebrosus
Insara covilleae
Intellagama lesueurii
Iphinoe sp. 1
Iphinoe sp. 2
Ips acuminatus
Isochrysis galbana
Isoodon auratus
Isoodon macrourus
Isoodon obesulus
Isthmomys pirrensis
Isurus oxyrinchus
Jaculus jaculus
Jaculus orientalis
Janicella spinicauda
Japetella diaphana
Japetella heathi
Kaloula pulchra
Karoophasma biedouwensis
Kassina senegalensis
Kassina weali
Katsuwonus pelamis
Kerodon rupestris
Klauberina riversiana
Klebsiella aerogenes
Klebsiella pneumoniae
Kobus ellipsiprymnus
Kuhlia sandvicensis
Labeo calbasu
Labeo capensis
Labeo erythrurus
Labeo rohita
Labidocera acuta
Labidocera detruncata
Labidocera jollae
Labidocera sp. 1
Labritermes kistneri
Labrus bergylta
Lacerta agilis
Lacerta sicula
Lacerta trilineata
Lacerta viridis
Lacerta vivipara
Lactobacillus brevis
Lactobacillus bulgaricus
Lactobacillus casei
Lactobacillus plantarum
Lactococcus lactis
Lactococcus sp. 1
Lactococcus sp. TmLO5
Lagodon rhomboides
Lagorchestes conspicillatus
Lama glama
Lampanyctus regalis
Lampetra fluviatilis
Lampetra planeri
Lampornis clemenciae
Lampropeltis getulus
Lampropeltis miliaris
Landrumius gigas
Lanius cristatus
Larvivora cyane
Lasiorhinus latifrons
Lasiurus borealis
Lasiurus cinereus
Lasiurus intermedius
Lasiurus seminolus
Lasius alienus
Lasius flavus
Lasius niger
Lasius sitiens
Lates calcarifer (species in Protostomia)
Latrodectus mactans
Legionella pneumophila
Leimadophis poecilogyrus
Leiostomus xanthurus
Leishmania brasiliensis
Leishmania donovani
Leishmania enrietti
Lemmiscus curtatus
Lemmus trimucronatus
Lemniscomys griselda
Leopardus pardalis
Leopardus wiedii
Lepidobatrachus llanensis
Lepidocephalichthys guntea
Lepidogalaxias salamandroides
Lepidophyma gaigeae
Lepidophyma smithi
Lepomis cyanellus
Lepomis gibbosus
Lepomis macrochirus
Leporinus fasciatus
Leptailurus serval
Leptinotarsa decemlineata
Leptocylindrus danicus
Leptodactylus typhonius
Leptogenys attenuata
Leptogenys nitida
Leptogenys schwabi
Leptonycteris curasoae
Leptospira sp.
Leptothorax acerovorum
Leptothorax unifasciatus
Leptotila verreauxi
Lepus alleni
Lepus americanus
Lepus arcticus
Lepus californicus
Lepus timidus
Lepus townsendii
Leucaspius delineatus
Leuciscus cephalus
Leuciscus idus
Leuciscus leuciscus
Leucocarbo atriceps
Leucocelis elegans
Leucophaea maderae
Leukartiara octona
Leuroglossus stilbius
Liasis fuscus
Liasis olivaceus
Libellula auripennis
Libellula needhami
Libellula spp. (combined)
Lichanura roseofusca
Lichanura trivirgata
Lichenostomus virescens
Lichmera indistincta
Ligia oceanica
Ligidium japonica
Limanda limanda
Limnogale mergulus
Liocranchia pacificus
Liocranchia valdivia
Liocranoides sp.
Liomys irroratus
Liomys salvini
Lipophrys pholis
Lirimiris sp.
Lirimiris sp. 1
Lixus bisulcatus
Liza aurata
Liza dumerili
Liza macrolepis
Liza richardsonii
Locusta migratoria migratorioides
Loligo forbesi
Loligo opalescens
Loligo pealei
Lolliguncula brevis
Lonchura maja
Lonchura malacca
Loriculus galgulus
Loris tardigradus
Lota lota
Loxodontomys micropus
Loxops parva
Loxops virens
Loxosceles deserta
Loxosceles laeta
Loxosceles unicolor
Lucicutia bicornuta
Lucicutia flavicornis
Lucicutia maxima
Lucifer typus
Lutjanus campechanus
Lutreolina crassicaudata
Lycodichthys dearborni
Lycosa howarthi
Lycosa sp.
Lygus kalmii
Lysmata sp. 1
Maccullochella peelii
Macrobrachium acanthurus
Macrobrachium heterochirus
Macrobrachium olfersi
Macrobrachium potiuna
Macroderma gigas
Macrodontia dejeani
Macroglossus minimus
