,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Bacillus cereus,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
Bacillus subtilis,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
Bacillus licheniformis,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
Bacillus pumilus,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
Sporosarcina ureae,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
Staphylococcus epidermidis,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
Staphylococcus aureus,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
Bacillus acidocaldarius,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
Pediococcus acidilactici,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
Enterococcus cecorum,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
Enterococcus faecalis,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
Streptococcus agalactiae,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
Streptococcus thermophilus,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
Streptococcus pneumoniae,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
Streptococcus pyogenes,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
Lactococcus lactis,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
Micrococcus luteus,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
Arthrobacter globiformis,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
Arthrobacter crystallopoietes,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
