class,order,family,Genus,species,wet_Mass_g,wet_Mass_kg,BMR,BMR_unit,temperature,temperature_unit,Reference,taxon_name
Amphibia,Caudata,Plethodontidae,Pseudoeurycea,unguidentis,3.0,0.003,0.0041744444444444,W,15.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Pseudoeurycea unguidentis
Amphibia,Caudata,Plethodontidae,Pseudotriton,ruber,11.0,0.011,0.0125233333333333,W,15.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Pseudotriton ruber
Amphibia,Anura,Pyxicephalidae,Pyxicephalus,adspersus,400.0,0.4,2.8400798449043823,W,20.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Pyxicephalus adspersus
Amphibia,Anura,Ranidae,Rana,clamitans,50.0,0.05,0.1391629213290649,W,20.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Rana clamitans
Amphibia,Anura,Ranidae,Rana,palustris,20.0,0.02,0.0873794485259054,W,20.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Rana palustris
Amphibia,Anura,Ranidae,Rana,pipiens,35.0,0.035,0.1409444444444444,W,25.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Rana pipiens
Amphibia,Anura,Ranidae,Rana,sylvatica,13.0,0.013,0.0781294501942406,W,20.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Rana sylvatica
Amphibia,Anura,Bufonidae,Rhinella,marina,266.0,0.266,2.109444444444444,W,25.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Rhinella marina
Amphibia,Caudata,Salamandridae,Salamandra,salamandra,8.0,0.008,0.0128916666666666,W,15.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Salamandra salamandra
Amphibia,Anura,Scaphiopodidae,Scaphiopus,couchii,21.0,0.021,0.2270555555555555,W,25.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Scaphiopus couchii
