class,order,family,Genus,species,wet_Mass_g,wet_Mass_kg,BMR,BMR_unit,temperature,temperature_unit,Reference,taxon_name
Amphibia,Anura,Hylidae,Dryophytes,gratiosus,14.0,0.014,0.0958333333333333,W,29.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Dryophytes gratiosus
Amphibia,Anura,Hylidae,Dryophytes,squirellus,2.0,0.002,0.0218888888888888,W,28.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Dryophytes squirellus
Amphibia,Anura,Hylidae,Dryophytes,versicolor,9.0,0.009,0.0518333333333333,W,19.3,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Dryophytes versicolor
Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus,coqui,5.0,0.005,0.0076666666666666,W,20.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Eleutherodactylus coqui
Amphibia,Anura,Leptodactylidae,Engystomops,pustulosus,2.0,0.002,0.0186111111111111,W,25.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Engystomops pustulosus
Amphibia,Caudata,Plethodontidae,Ensatina,eschscholtzi,2.0,0.002,0.0043333333333333,W,23.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Ensatina eschscholtzi
Amphibia,Anura,Bufonidae,Epidalea,calamita,9.0,0.009,0.0376666666666666,W,20.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Epidalea calamita
Amphibia,Caudata,Plethodontidae,Eurycea,longicauda,1.0,0.001,0.0015555555555555,W,15.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Eurycea longicauda
Amphibia,Anura,Microhylidae,Gastrophryne,carolinensis,2.0,0.002,0.0086111111111111,W,20.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Gastrophryne carolinensis
Amphibia,Gymnophiona,Dermophiidae,Geotrypetes,seraphini,2.0,0.002,0.0017222222222222,W,20.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Geotrypetes seraphini
