taxon_name,wet_Mass_kg,temperature,pc1,pc2,pc3,pc4,pc5,BMR
Anguilla anguilla,0.0711,14.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.0091008
Ctenopharyngodon idella,0.01605,22.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.00797685
Lycodichthys dearborni,0.04461,-1.5,4408.74512920855,-2906.118607171294,660.7599276629663,-28.00844500646529,-64.7842835284049,0.00521937
Pseudochaenichthys georgianus,0.0357,0.5,4408.74512920855,-2906.118607171294,660.7599276629663,-28.00844500646529,-64.7842835284049,0.0189567
Abramis brama,0.069500000065594,18.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.0751925655355619
Abramis brama,0.0696000000624113,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.2825771388285653
Abramis brama,0.0758000000642199,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.2293924226521252
Abramis brama,0.083999999988031,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.2072256321517394
Abramis brama,0.083999999988031,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.2722458203851439
Abramis brama,0.0996299999270378,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.3452922564983446
Abramis brama,0.1029000000562881,18.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.0766801882352051
Abramis brama,0.1030999999326941,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.382546926663795
Abramis brama,0.1142200000450383,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.2914743175976873
Abramis brama,0.1142200000450383,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.3827382917988062
Abramis brama,0.1222999999897818,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.3957662001408176
Abramis brama,0.1265499998559728,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.4310064429684831
Abramis brama,0.1309500000719885,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.4538394157039974
Abramis brama,0.1354999999343475,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.2293909244698321
Abramis brama,0.1354999999343475,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.5027653595305934
Abramis brama,0.1450900000986912,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.5571871072141984
Abramis brama,0.1553500001463043,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.2723049978007347
Abramis brama,0.1553500001463043,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.3778134869321558
Abramis brama,0.1607500001494407,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.5571186412682051
Abramis brama,0.2041799997745892,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.6607321565172205
Abramis brama,0.2186200000168751,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.6168443284937968
Abramis brama,0.2262199999737491,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.6947736708226605
