"class","order","family","Genus","species","wet_Mass_g","wet_Mass_kg","temperature","temperature_unit","Reference","taxon_name","pc1","pc2","pc3","pc4","pc5","log_mass","log_BMR","inv_kT","row_id","Species","temp_K","in_phylogeny","y_fitted_log_BMR","residual_log_BMR"
"Amphibia","Anura","Bufonidae","Rhinella","marina",145,0.145,15,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Rhinella marina",-2756.04765077888,216.103477442877,-1994.14460240561,-588.522102691723,179.228358371418,-0.838631997765025,-2.06777998612289,40.2740479814134,22,"Rhinella marina",288.15,TRUE,-0.87072692503149,-1.1970530610914
"Amphibia","Anura","Scaphiopodidae","Spea","bombifrons",13.3,0.0133,15,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Spea bombifrons",-3137.73415379969,3438.12378631812,1022.04680777695,-272.621039304929,-2751.27783377339,-1.87614835903291,-1.98796886511459,40.2740479814134,23,"Spea bombifrons",288.15,TRUE,-1.61156031588596,-0.376408549228625
"Amphibia","Anura","Telmatobiidae","Telmatobius","marmoratus",18.4,0.0184,10,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Telmatobius marmoratus",-3068.2186727055,2842.19715431727,457.883768793185,-335.806712823388,-2310.1021671445,-1.73518217699046,-2.29113738107239,40.9852266496354,24,"Telmatobius marmoratus",283.15,TRUE,-1.64095799649894,-0.650179384573451
"Aves","Galliformes","Phasianidae","Alectoris","graeca",633,0.633,25,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Alectoris graeca",17346.6722629006,-89.9914115413736,724.022398763877,-1191.51524960899,5.32062002777295,-0.198596289982645,0.403463701345318,38.9232497932056,32,"Alectoris graeca",298.15,TRUE,-0.166690939174269,0.570154640519587
"Aves","Suliformes","Anhingidae","Anhinga","rufa",1040,1.04,25,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Anhinga rufa",-2756.04765077888,216.103477442877,-1994.14460240561,-588.522102691723,179.228358371418,0.0170333392987804,0.508395033133053,38.9232497932056,35,"Anhinga rufa",298.15,TRUE,-0.0127216762375042,0.521116709370557
"Aves","Galliformes","Phasianidae","Bonasa","umbellus",644,0.644,25,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Bonasa umbellus",17346.6722629006,-89.9914115413736,724.022398763877,-1191.51524960899,5.32062002777295,-0.191114132640188,0.377087591426807,38.9232497932056,38,"Bonasa umbellus",298.15,TRUE,-0.161348341985589,0.538435933412396
"Aves","Galliformes","Cracidae","Crax","alberti",2800,2.8,25,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Crax alberti",17346.6722629006,-89.9914115413736,724.022398763877,-1191.51524960899,5.32062002777295,0.447158031342219,0.827369273053825,38.9232497932056,48,"Crax alberti",298.15,TRUE,0.294406718063066,0.532962554990759
"Aves","Falconiformes","Falconidae","Falco","sparverius",117,0.117,25,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Falco sparverius",17346.6722629006,-89.9914115413736,724.022398763877,-1191.51524960899,5.32062002777295,-0.931814138253838,-0.0744816418225699,38.9232497932056,49,"Falco sparverius",298.15,TRUE,-0.690241492252744,0.615759850430174
"Aves","Galliformes","Phasianidae","Lagopus","lagopus",567,0.567,25,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Lagopus lagopus",17346.6722629006,-89.9914115413736,724.022398763877,-1191.51524960899,5.32062002777295,-0.246416941107093,0.461153234990843,38.9232497932056,52,"Lagopus lagopus",298.15,TRUE,-0.200837036959273,0.661990271950116
"Aves","Procellariiformes","Hydrobatidae","Oceanodroma","furcata",44.6,0.0446,25,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Oceanodroma furcata",-2756.04765077888,216.103477442877,-1994.14460240561,-588.522102691723,179.228358371418,-1.35066514128786,-0.346343767505216,38.9232497932056,55,"Oceanodroma furcata",298.15,TRUE,-0.98931996505995,0.642976197554735
"Aves","Columbiformes","Columbidae","Ptilinopus","superbus",120.4,0.1204,25,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Ptilinopus superbus",-2756.04765077888,216.103477442877,-1994.14460240561,-588.522102691723,179.228358371418,-0.919373513078194,-0.120032963624613,38.9232497932056,61,"Ptilinopus superbus",298.15,TRUE,-0.681358325801316,0.561325362176703
"Aves","Columbiformes","Columbidae","Streptopelia","turtur",154,0.154,25,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Streptopelia turtur",-2756.04765077888,216.103477442877,-1994.14460240561,-588.522102691723,179.228358371418,-0.812479279163537,0.0567524405674392,38.9232497932056,66,"Streptopelia turtur",298.15,TRUE,-0.605031030415812,0.661783470983252
"Aves","Columbiformes","Columbidae","Zenaida","macroura",123,0.123,25,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Zenaida macroura",-2756.04765077888,216.103477442877,-1994.14460240561,-588.522102691723,179.228358371418,-0.910094888560602,-0.131943638176958,38.9232497932056,72,"Zenaida macroura",298.15,TRUE,-0.674732970172772,0.542789331995814
"Cephalopoda","Teuthida","Ommastrephidae","Illex","illecebrosus",443,0.443,5,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Illex illecebrosus",-2756.04765077888,216.103477442877,-1994.14460240561,-588.522102691723,179.228358371418,-0.35359627377693,-0.656541381504356,41.7219734885647,74,"Illex illecebrosus",278.15,TRUE,-0.789173017896484,0.132631636392128
"Cephalopoda","Octopoda","Octopodidae","Octopus","maya",45.1,0.0451,5,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Octopus maya",-2756.04765077888,216.103477442877,-1994.14460240561,-588.522102691723,179.228358371418,-1.34582345812204,-1.86166603375666,41.7219734885647,75,"Octopus maya",278.15,TRUE,-1.49766789751273,-0.363998136243933
"Malacostraca","Decapoda","Parastacidae","Cherax","destructor",53,0.053,20,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Cherax destructor",-2756.04765077888,216.103477442877,-1994.14460240561,-588.522102691723,179.228358371418,-1.27572413039921,-1.79860287567955,39.5871292029482,93,"Cherax destructor",293.15,TRUE,-1.05721293250654,-0.74138994317301
"Malacostraca","Decapoda","Oplophoridae","Oplophorus","spinosus",2.92,0.00292,10,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Oplophorus spinosus",-2756.04765077888,216.103477442877,-1994.14460240561,-588.522102691723,179.228358371418,-2.53461714855158,-2.73390007026922,40.9852266496354,96,"Oplophorus spinosus",283.15,TRUE,-2.21179055669637,-0.522109513572851
"Malacostraca","Decapoda","Oplophoridae","Oplophorus","spinosus",2.92,0.00292,5,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Oplophorus spinosus",-2756.04765077888,216.103477442877,-1994.14460240561,-588.522102691723,179.228358371418,-2.53461714855158,-2.51342784948164,41.7219734885647,97,"Oplophorus spinosus",278.15,TRUE,-2.3465201118827,-0.166907737598947
"Malacostraca","Decapoda","Oplophoridae","Oplophorus","spinosus",2.92,0.00292,20,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Oplophorus spinosus",-2756.04765077888,216.103477442877,-1994.14460240561,-588.522102691723,179.228358371418,-2.53461714855158,-2.06923429710316,39.5871292029482,98,"Oplophorus spinosus",293.15,TRUE,-1.95611922273712,-0.113115074366046
"Teleostei","Clupeiformes","Clupeidae","Dorosoma","cepedianum",0.699999999977,0.000699999999977,16.8,"C","J. G. Rubalcaba, W. C. E. P. Verberk, A. J. Hendriks. B. Saris, H. A. Woods, Oxygen limitation may affect the temperature and size dependence of metabolism in aquatic ectotherms. Proc. Natl. Acad. Sci. U.S.A. 117, 31963-3196 (2020).","Dorosoma cepedianum",-3373.75754667893,5449.49562810015,2918.07869359491,-65.4687855521375,-4366.75691007455,-3.15490196000001,-1.63819582486929,40.0240280249845,179,"Dorosoma cepedianum",289.95,TRUE,-2.47892658270569,0.840730757836409
"Teleostei","Clupeiformes","Clupeidae","Dorosoma","cepedianum",1.6999999985192,0.0016999999985192,12.4,"C","J. G. Rubalcaba, W. C. E. P. Verberk, A. J. Hendriks. B. Saris, H. A. Woods, Oxygen limitation may affect the temperature and size dependence of metabolism in aquatic ectotherms. Proc. Natl. Acad. Sci. U.S.A. 117, 31963-3196 (2020).","Dorosoma cepedianum",-3373.75754667893,5449.49562810015,2918.07869359491,-65.4687855521375,-4366.75691007455,-2.76955107900002,-2.05535158757604,40.640752673242,180,"Dorosoma cepedianum",285.55,TRUE,-2.31654969474007,0.261198107164028
"Teleostei","Clupeiformes","Clupeidae","Dorosoma","cepedianum",1.6999999985192,0.0016999999985192,13.4,"C","J. G. Rubalcaba, W. C. E. P. Verberk, A. J. Hendriks. B. Saris, H. A. Woods, Oxygen limitation may affect the temperature and size dependence of metabolism in aquatic ectotherms. Proc. Natl. Acad. Sci. U.S.A. 117, 31963-3196 (2020).","Dorosoma cepedianum",-3373.75754667893,5449.49562810015,2918.07869359491,-65.4687855521375,-4366.75691007455,-2.76955107900002,-1.91315384560454,40.4989248851658,181,"Dorosoma cepedianum",286.55,TRUE,-2.29061351993634,0.377459674331792
"Teleostei","Clupeiformes","Clupeidae","Dorosoma","cepedianum",3.1000000011829,0.0031000000011829,18.8,"C","J. G. Rubalcaba, W. C. E. P. Verberk, A. J. Hendriks. B. Saris, H. A. Woods, Oxygen limitation may affect the temperature and size dependence of metabolism in aquatic ectotherms. Proc. Natl. Acad. Sci. U.S.A. 117, 31963-3196 (2020).","Dorosoma cepedianum",-3373.75754667893,5449.49562810015,2918.07869359491,-65.4687855521375,-4366.75691007455,-2.50863830600001,-1.67714760872996,39.7498438973943,182,"Dorosoma cepedianum",291.95,TRUE,-1.96732494169375,0.290177332963791
"Teleostei","Clupeiformes","Clupeidae","Dorosoma","cepedianum",3.3000000009278,0.0033000000009278,19.3,"C","J. G. Rubalcaba, W. C. E. P. Verberk, A. J. Hendriks. B. Saris, H. A. Woods, Oxygen limitation may affect the temperature and size dependence of metabolism in aquatic ectotherms. Proc. Natl. Acad. Sci. U.S.A. 117, 31963-3196 (2020).","Dorosoma cepedianum",-3373.75754667893,5449.49562810015,2918.07869359491,-65.4687855521375,-4366.75691007455,-2.48148606000001,-1.63555426080412,39.6818838291819,183,"Dorosoma cepedianum",292.45,TRUE,-1.93550909703369,0.299954836229574
"Teleostei","Clupeiformes","Clupeidae","Dorosoma","cepedianum",3.899999999762,0.003899999999762,14.4,"C","J. G. Rubalcaba, W. C. E. P. Verberk, A. J. Hendriks. B. Saris, H. A. Woods, Oxygen limitation may affect the temperature and size dependence of metabolism in aquatic ectotherms. Proc. Natl. Acad. Sci. U.S.A. 117, 31963-3196 (2020).","Dorosoma cepedianum",-3373.75754667893,5449.49562810015,2918.07869359491,-65.4687855521375,-4366.75691007455,-2.408935393,-1.80471958810641,40.3580835536229,184,"Dorosoma cepedianum",287.55,TRUE,-2.00736190462825,0.202642316521839
"Teleostei","Clupeiformes","Clupeidae","Dorosoma","cepedianum",4.6000000033727,0.0046000000033727,13.4,"C","J. G. Rubalcaba, W. C. E. P. Verberk, A. J. Hendriks. B. Saris, H. A. Woods, Oxygen limitation may affect the temperature and size dependence of metabolism in aquatic ectotherms. Proc. Natl. Acad. Sci. U.S.A. 117, 31963-3196 (2020).","Dorosoma cepedianum",-3373.75754667893,5449.49562810015,2918.07869359491,-65.4687855521375,-4366.75691007455,-2.337242168,-1.96079548013425,40.4989248851658,185,"Dorosoma cepedianum",286.55,TRUE,-1.98192549496739,0.0211300148331439
"Teleostei","Clupeiformes","Clupeidae","Dorosoma","cepedianum",4.6000000033727,0.0046000000033727,13,"C","J. G. Rubalcaba, W. C. E. P. Verberk, A. J. Hendriks. B. Saris, H. A. Woods, Oxygen limitation may affect the temperature and size dependence of metabolism in aquatic ectotherms. Proc. Natl. Acad. Sci. U.S.A. 117, 31963-3196 (2020).","Dorosoma cepedianum",-3373.75754667893,5449.49562810015,2918.07869359491,-65.4687855521375,-4366.75691007455,-2.337242168,-1.90618743176969,40.5555370464591,186,"Dorosoma cepedianum",286.15,TRUE,-1.9922782116757,0.0860907799060167
"Teleostei","Clupeiformes","Clupeidae","Dorosoma","cepedianum",4.9999999961314,0.0049999999961314,9.8,"C","J. G. Rubalcaba, W. C. E. P. Verberk, A. J. Hendriks. B. Saris, H. A. Woods, Oxygen limitation may affect the temperature and size dependence of metabolism in aquatic ectotherms. Proc. Natl. Acad. Sci. U.S.A. 117, 31963-3196 (2020).","Dorosoma cepedianum",-3373.75754667893,5449.49562810015,2918.07869359491,-65.4687855521375,-4366.75691007455,-2.301029996,-2.28319993571226,41.0141965924872,187,"Dorosoma cepedianum",282.95,TRUE,-2.05029657312936,-0.232903362582904
"Teleostei","Clupeiformes","Clupeidae","Dorosoma","cepedianum",4.9999999961314,0.0049999999961314,9.1,"C","J. G. Rubalcaba, W. C. E. P. Verberk, A. J. Hendriks. B. Saris, H. A. Woods, Oxygen limitation may affect the temperature and size dependence of metabolism in aquatic ectotherms. Proc. Natl. Acad. Sci. U.S.A. 117, 31963-3196 (2020).","Dorosoma cepedianum",-3373.75754667893,5449.49562810015,2918.07869359491,-65.4687855521375,-4366.75691007455,-2.301029996,-2.11036183376179,41.1159147062684,188,"Dorosoma cepedianum",282.25,TRUE,-2.06889785582241,-0.0414639779393884
"Teleostei","Clupeiformes","Clupeidae","Dorosoma","cepedianum",5.4000000022012,0.0054000000022012,9.4,"C","J. G. Rubalcaba, W. C. E. P. Verberk, A. J. Hendriks. B. Saris, H. A. Woods, Oxygen limitation may affect the temperature and size dependence of metabolism in aquatic ectotherms. Proc. Natl. Acad. Sci. U.S.A. 117, 31963-3196 (2020).","Dorosoma cepedianum",-3373.75754667893,5449.49562810015,2918.07869359491,-65.4687855521375,-4366.75691007455,-2.26760624,-2.19646834558785,41.0722595145789,189,"Dorosoma cepedianum",282.55,TRUE,-2.03704852524698,-0.159419820340868
