taxon_name
Syconycteris australis
Melonycteris melanops
Nyctimene albiventer
Paranyctimene raptor
Cynopterus brachyotis
Peropteryx macrotis
Saccopteryx bilineata
Noctilio albiventris
Noctilio leporinus
Mormoops megalophylla
Pteronotus quadridens
Pteronotus davyi
Pteronotus personatus
Carollia perspicillata
Rhinophylla fischerae
Sturnira lilium
Artibeus lituratus
Artibeus jamaicensis
Artibeus concolor
Platyrrhinus lineatus
Uroderma bilobatum
Glossophaga soricina
Glossophaga longirostris
Leptonycteris curasoae
Choeroniscus godmani
Phyllostomus elongatus
Phyllostomus hastatus
Phyllostomus discolor
Tonatia bidens
Chrotopterus auritus
Diphylla ecaudata
Diaemus youngi
Desmodus rotundus
Eumops perotis
Molossus molossus
Myotis vivesi
Lasiurus seminolus
Lasiurus borealis
Nyctophilus geoffroyi
Chalinolobus gouldii
Histiotus velatus
Nycticeius humeralis
Miniopterus schreibersii
Natalus tumidirostris
Sylvilagus audubonii
Lepus timidus
Lepus arcticus
Lepus townsendii
Lepus californicus
Lepus alleni
Lepus americanus
Ochotona princeps
Graphiurus ocularis
Aplodontia rufa
Marmota flaviventris
Otospermophilus beecheyi
Cynomys ludovicianus
Ammospermophilus leucurus
Tamias striatus
Tamias amoenus
Tamias minimus
Tamias merriami
Paraxerus cepapi
Xerus princeps
Xerus inauris
Sciurus aberti
Neotoma lepida
Neotoma fuscipes
Isthmomys pirrensis
Peromyscus californicus
Peromyscus eremicus
Peromyscus leucopus
Peromyscus maniculatus
Peromyscus truei
Scotinomys teguina
Scotinomys xerampelinus
Baiomys taylori
Microtus agrestis
Microtus pinetorum
Microtus xanthognathus
Microtus richardsoni
Microtus pennsylvanicus
Microtus montanus
Microtus longicaudus
Microtus ochrogaster
Microtus cabrerae
Microtus subterraneus
Microtus oeconomus
Chionomys nivalis
Lemmiscus curtatus
Arvicola amphibius
Microtus breweri
Myodes gapperi
Myodes glareolus
Myopus schisticolor
Lemmus trimucronatus
Arborimus pomo
Phenacomys intermedius
Dicrostonyx groenlandicus
Myodes californicus
Microtus guentheri
Neofiber alleni
Ondatra zibethicus
Mesocricetus auratus
Cricetulus migratorius
Phodopus campbelli
Phodopus sungorus
Oligoryzomys longicaudatus
Phyllotis darwini
Phyllotis magister
Auliscomys boliviensis
Loxodontomys micropus
Graomys griseoflavus
Eligmodontia typus
Calomys venustus
Calomys musculinus
Abrothrix longipilis
Abrothrix olivaceus
Abrothrix andinus
Akodon azarae
Sigmodon hispidus
Pseudomys hermannsburgensis
Rattus sordidus
Rattus colletti
Rattus villosissimus
Mus musculus
Mastomys natalensis
Apodemus sylvaticus
Apodemus witherbyi
Apodemus mystacinus
Micaelamys namaquensis
Lemniscomys griselda
Rhabdomys pumilio
Otomys irroratus
Parotomys brantsii
Myotomys sloggetti
Myotomys unisulcatus
Pseudomys gracilicaudatus
Notomys alexis
Notomys cervinus
Uromys caudimaculatus
Conilurus penicillatus
Hydromys chrysogaster
Acomys subspinosus
Acomys spinosissimus
Gerbillurus tytonis
Gerbillurus setzeri
Gerbillurus vallinus
Gerbillurus paeba
Gerbilliscus afra
Gerbilliscus leucogaster
Desmodillus auricularis
Gerbillus andersoni
Dipodillus dasyurus
Gerbillus nanus
Meriones tristrami
Rattus lutreolus
Rattus fuscipes
Thallomys paedulcus
Steatomys pratensis
Saccostomus campestris
Cricetomys gambianus
Mystromys albicaudatus
Tachyoryctes splendens
Cannomys badius
Jaculus orientalis
Jaculus jaculus
Napaeozapus insignis
Zapus hudsonius
Pedetes capensis
Castor canadensis
Heteromys anomalus
Heteromys desmarestianus
Perognathus longimembris
Perognathus flavus
Chaetodipus intermedius
Chaetodipus fallax
Chaetodipus baileyi
Chaetodipus hispidus
Dipodomys agilis
Dipodomys microps
Dipodomys panamintinus
Dipodomys merriami
Dipodomys deserti
Microdipodops megacephalus
Microdipodops pallidus
Geomys pinetis
Geomys bursarius
Thomomys talpoides
Thomomys bottae
Thomomys umbrinus
Heterocephalus glaber
Georychus capensis
Bathyergus janetta
Bathyergus suillus
Cryptomys hottentotus
Heliophobius argenteocinereus
Aconaemys fuscus
Spalacopus cyanus
Octodon degus
Octodontomys gliroides
Tympanoctomys barrerae
Octomys mimax
Ctenomys australis
Ctenomys talarum
Ctenomys maulinus
Ctenomys fulvus
Ctenomys opimus
Capromys pilorides
Proechimys semispinosus
Myocastor coypus
Thrichomys apereoides
Chinchilla lanigera
Dasyprocta leporina
Myoprocta acouchy
Cavia porcellus
Galea musteloides
Kerodon rupestris
Dolichotis salinicola
Cuniculus paca
Coendou prehensilis
Hystrix africaeaustralis
Nycticebus coucang
Loris tardigradus
Otolemur crassicaudatus
Cheirogaleus medius
Eulemur fulvus
Aotus trivirgatus
Cebuella pygmaea
Callimico goeldii
Cercopithecus mitis
Colobus guereza
Ptilocercus lowii
Tupaia glis
Heterohyrax brucei
Eremitalpa granti
Geogale aurita
Limnogale mergulus
Microgale cowani
Microgale talazaci
Microgale dobsoni
