Percina caprodes
Petrocephalus catostoma
Petromyzon marinus
Pimephales promelas
Pimephales vigilax
Platichthys flesus
Platichthys stellatus
Plecoglossus altivelis
Pleuronectes platessa
Poecilia latipinna
Poecilia reticulata
Pollachius pollachius
Polyodon spathula
Pomacentrus coelestis
Pomacentrus lepidogenys
Pomacentrus moluccensis
Pomadasys commersonnii
Pomatomus saltatrix
Poromitra crassiceps
Protopterus annectens
Pseudobathylagus milleri
Pseudopleuronectes americanus
Pterophyllum scalare
Rhadinocentrus ornatus
Rhinecanthus aculeatus
Rhinogobiops nicholsii
Rhinomugil corsula
Rhodeus amarus
Rhodeus sericeus
Rhomboplites aurorubens
Rutilus rutilus
Sagamichthys abei
Salmo salar
Salmo trutta
Salvelinus alpinus
Salvelinus fontinalis
Salvelinus namaycush
Sander lucioperca
Sander vitreus
Sarda chiliensis
Sarotherodon galilaeus
Scardinius erythrophthalmus
Scarus schlegeli
Scolopsis bilineata
Scopelengys tristis
Scopelogadus mizolepis
Scophthalmus rhombus
Scorpaena porcus
Scyliorhinus canicula
Sebastes diploproa
Sebastolobus altivelis
Seriola lalandi
Seriola quinqueradiata
Serranus scriba
Solea solea
Sparus aurata
Spinachia spinachia
Spinibarbus sinensis
Squalus acanthias
Stenobrachius leucopsarus
Stethojulis bandanensis
Stomias atriventer
Symbolophorus californiensis
Synbranchus marmoratus
Syngnathus acus
Tarletonbeania crenularis
Tautogolabrus adspersus
Thorichthys meeki
Thunnus alalunga
Thymallus arcticus
Tilapia rendalli
Tilapia zillii
Tinca tinca
Torpedo marmorata
Torpedo torpedo
Trichopodus leerii
Triphoturus mexicanus
Typhlogobius californiensis
Xiphophorus hellerii
Zoarces viviparus
Aegina citrea
Aglantha digitale
Atolla vanhoeffeni
Atolla wyvillei
Botrynema brucei
Caeosagitta macrocephala
Colobenema sericeum
Crossota alba
Crossota rufobrunnea
Crossota sp.
Decipisagitta decipiens
Eirene mollis
Eukrohnia bathypelagica
Eukrohnia fowleri
Eukrohnia hamata
Flaccisagitta hexaptera
Haliscera bigelowi
Halitrephes maasi
Heterokrohnia murina
Leukartiara octona
Nausithoe rubra
Pantachogon sp.
Paraphyllina ransoni
Parasagitta elegans
Parasagitta euneritica
Periphylla peryphylla
Pseudosagitta gazellae
Pseudosagitta lyra
Pseudosagitta maxima
Sagitta elegans
Solidosagitta zetesios
Tetrorchis erythrogaster
Vallentinia adherens
Vampyrocrossota childressi
Acanthamoeba (Hartmanella)
Acanthamoeba sp.
Actinosphaerium eichhornii
Amoeba proteus
Bresslaua insidiatrix
Chilomonas paramecium
Coleps hirtus
Colpidium campylum
Dictyostelium discodeum
Eimeria acervulina
Eimeria stiedae
Eimeria tenella
Entamoeba hystolitica
Frontonia leucas
Mayorella palestinensis
Paramecium aurelia
Paramecium calkinsi
Paramecium caudatum
Paramecium multimicronucleatum
Pelomyxa carolinensis
Pelomyxa palustris
Plasmodium cathemerium
Plasmodium gallinaceum
Plasmodium knowlesi
Podophrya fixa
Spirostomum ambiguum
Spirostomum intermedium
Spirostomum minus
Spirostomum teres
Stentor coeruleus
Tetrahymena geleii
Tetrahymena pyriformis
Tracheloraphis sp.
Trichomonas (Tritrichomonas)
Trichomonas batrachorum
Trichomonas nasai
Trichomonas vaginalis
Trichosphaerium sieboldi
Urostyla grandis
Acanthoderes circumflexa
Acanthophorus confinis
Acheta domesticus
Aciculioiditermes sp.
Acrocinus longimanus
Adeloneivaia boisduvalii
Adeloneivaia subungulata
Adesmia baccata
Aedes campestris
Agrypnus bocandei
Amara quenseli
Anachalcos convexus
Anax junius
Anconia integra
Anepsius brunneus
Anomala sp.
Anoplolepis steinergroeveri
Antheraea pernyi
Anthia fabricii
Antrops truncipennis
Anurogryllis arboreus
Apetaloides firmiana
Aphaenogaster cockerelli
Aphodius contaminatus
Aphodius distinctus
Aphodius fimetarius
Aphodius fossor
Aphodius prodromus
Aphodius rufipes
Aphodius rufus
Apis mellifera
Artace sp.
Atta laevigata
Atta sexdens
Automerina auletes
Automeris fieldi
Automeris hamata
Automeris jacunda
Automeris zugana
Blaberus discoidalis
Blaberus giganteus
Blaps gigas
Blatella germanica
Blatta orientalis
Bombus terrestris
Bombyx mori
Bootettix punctatus
Bothrometopus elongatus
Bothrometopus parvulus
Bothrometopus randi
Brachymesia gravida
Brasilanus batus
Bulbitermes sp.
Byrsotria fumagata
Calandra oryzae
Calosoma affine
Calosoma sp.
Campalita chlorostictum
Camponotus detritus
Camponotus fulvopilosus
Camponotus laevigatus
Camponotus maculatus
Camponotus sericeiventris
Camponotus sp.
Camponotus vafer
Camponotus vicinus
Canonopsis sericeus
Cardiosis fairmarei
Carinum sp.
Cataglyphis bicolor
Centrioptera muricata
Cerotalis sp.
Ceuthophilis fossor
Ceuthophilis gracilipes
Chelaner rothsteini
Chilanthia cavernosa
Chironomus riparius
Cicindela longilabris
Cicindela repanda
Circellium bacchus
Coeloesis biloba
Conocephalus fasciatus
Coptotermes formosanus
Corydalus cornutus
Crepidogaster bioculata
Cryptoglossa verrucosa
Culex tarsalis
Cyclocephala sp.
Cypholoba bihamata
Cypholoba chanleri
Cypholoba sp.
Cypholoba tenuicollis
Cypholoba tetrastigma
