taxon_name,PC1,PC2,PC3,PC4,PC5
Anthus trivialis,17396.309139636054,-91.15575087323997,738.0299877993559,-1245.442427836878,6.087020097013031
Anthus campestris,17396.309139636054,-91.15575087323997,738.0299877993559,-1245.442427836878,6.087020097013031
Amphispiza bilineata,17396.053215113097,-91.14974704416672,737.9577544126648,-1245.164275004244,6.083063928371812
Spizella passerina,17396.053215113097,-91.14974704416672,737.9577544126648,-1245.164275004244,6.083063928371812
Junco hyemalis,17396.053215113097,-91.14974704416672,737.9577544126648,-1245.164275004244,6.083063928371812
Zonotrichia albicollis,17396.053215113097,-91.14974704416672,737.9577544126648,-1245.164275004244,6.083063928371812
Zonotrichia leucophrys,17396.053215113097,-91.14974704416672,737.9577544126648,-1245.164275004244,6.083063928371812
Passerculus sandwichensis,17396.053215113097,-91.14974704416672,737.9577544126648,-1245.164275004244,6.083063928371812
Melospiza melodia,17396.053215113097,-91.14974704416672,737.9577544126648,-1245.164275004244,6.083063928371812
Melospiza georgiana,17396.053215113097,-91.14974704416672,737.9577544126648,-1245.164275004244,6.083063928371812
Ammodramus savannarum,17396.053215113097,-91.14974704416672,737.9577544126648,-1245.164275004244,6.083063928371812
Emberiza hortulana,17396.042457231688,-91.14949466957513,737.9547180277508,-1245.152582477809,6.08289761770288
Emberiza citrinella,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Protonotaria citrea,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Setophaga pinus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Setophaga dominica,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Setophaga coronata,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Setophaga palmarum,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Agelaius phoeniceus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Icterus galbula,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Cardinalis cardinalis,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
