"taxon_name","class","order","family","Genus","species","wet_Mass_g","wet_Mass_kg","BMR","BMR_unit","temperature","temperature_unit","Reference","log_mass","log_BMR","inv_kT","row_id","temp_K","pc1","pc2","pc3","pc4","pc5","removed_due_bad_branch","in_phylogeny","fixed_only_log_BMR","fixed_only_BMR","conditional_log_BMR","conditional_BMR"
"Bombina orientalis","Amphibia","Anura","Bombinatoridae","Bombina","orientalis",2.6,0.0026,0.0012012,"W",20,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-5.9522438339547,-6.7244342218551,39.5871292029482,64,293.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-5.61226107381744,0.00365280076113876,-5.70686342661427,0.00332307929767987
"Colostethus inguinalis","Amphibia","Anura","Dendrobatidae","Colostethus","inguinalis",2,0.002,0.0093325876024832,"W",20,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-6.21460809842219,-4.67424296040114,39.5871292029482,11,293.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-5.81891084072208,0.00297083910028421,-5.85176499459344,0.00287482063474606
"Colostethus inguinalis","Amphibia","Anura","Dendrobatidae","Colostethus","inguinalis",1.57,0.00157,0.00112726,"W",20,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-6.45667965962192,-6.78796536955583,39.5871292029482,68,293.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-6.00957717173975,0.0024551260576562,-6.04243132561111,0.00237577560184176
"Dendrobates auratus","Amphibia","Anura","Dendrobatidae","Dendrobates","auratus",11,0.011,0.007249,"W",25,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-4.50986000618377,-4.9268917506634,38.9232497932056,72,298.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-4.33629727806236,0.0130848883191859,-4.29218392282176,0.0136750274574081
"Dendrobates auratus","Amphibia","Anura","Dendrobatidae","Dendrobates","auratus",2,0.002,0.0113333333333333,"W",25,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-6.21460809842219,-4.48000704303409,38.9232497932056,12,298.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-5.67903271730831,0.00341686191683357,-5.63491936206769,0.00357096517685672
"Desmognathus ochrophaeus","Amphibia","Caudata","Plethodontidae","Desmognathus","ochrophaeus",2,0.002,0.0035857686202513,"W",21,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-6.21460809842219,-5.63078242895639,39.4525477676161,13,294.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-5.79055478939057,0.00305628611087836,-6.36257826071104,0.00172491369659291
"Desmognathus quadramaculatus","Amphibia","Caudata","Plethodontidae","Desmognathus","quadramaculatus",1.6,0.0016,0.0004288,"W",5,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-6.4377516497364,-7.75451994820768,41.7219734885647,74,278.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-6.44447624182762,0.00158927674781137,-7.06240275998411,0.000856717133323333
"Desmognathus quadramaculatus","Amphibia","Caudata","Plethodontidae","Desmognathus","quadramaculatus",28,0.028,0.0164792770632827,"W",21,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-3.57555076880693,-4.10565162298227,39.4525477676161,14,294.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-3.71191582870795,0.0244306734223424,-4.32984234686442,0.0131696235588745
"Discoglossus pictus","Amphibia","Anura","Alytidae","Discoglossus","pictus",31,0.031,0.0674754342586623,"W",20,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-3.47376807449699,-2.69599168425347,39.5871292029482,15,293.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-3.66010330183477,0.0257298546478765,-3.83246190499619,0.021656234355439
"Discoglossus pictus","Amphibia","Anura","Alytidae","Discoglossus","pictus",101.25,0.10125,0.01609875,"W",20,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-2.29016257299549,-4.12901364975739,39.5871292029482,76,293.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-2.72784295194006,0.0653601226475228,-2.90020155510151,0.0550121309632725
"Dryophytes arenicolor","Amphibia","Anura","Hylidae","Dryophytes","arenicolor",3,0.003,0.0234553529124358,"W",20,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-5.80914299031403,-3.75265654095227,39.5871292029482,16,293.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-5.49954848301464,0.00408861710182663,-4.90825479802914,0.00738536604637238
"Dryophytes arenicolor","Amphibia","Anura","Hylidae","Dryophytes","arenicolor",7.78,0.00778,0.02273316,"W",20,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-4.85619894079184,-3.78393062746333,39.5871292029482,77,293.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-4.7489673544962,0.00866063395175739,-4.15767366951066,0.015643908523201
"Dryophytes chrysoscelis","Amphibia","Anura","Hylidae","Dryophytes","chrysoscelis",5,0.005,0.0444330277003186,"W",20,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-5.29831736654804,-3.11377221895169,39.5871292029482,17,293.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-5.09719949583679,0.00611384445984188,-4.55623626445045,0.0105015095608689
"Dryophytes chrysoscelis","Amphibia","Anura","Hylidae","Dryophytes","chrysoscelis",3.37,0.00337,0.00248032,"W",10,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-5.69284253461787,-5.99936769487113,40.9852266496354,78,283.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-5.70252153127786,0.00333753912900564,-5.16155829989152,0.00573275936331769
"Dryophytes cinereus","Amphibia","Anura","Hylidae","Dryophytes","cinereus",3.9,0.0039,0.0027026999999999,"W",25,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-5.54677872584654,-5.91350400563881,38.9232497932056,79,298.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-5.15302059269623,0.00578191351749047,-4.75009917880629,0.00865083718086755
"Dryophytes cinereus","Amphibia","Anura","Hylidae","Dryophytes","cinereus",10,0.01,0.0572960049746542,"W",21,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-4.60517018598809,-2.8595243789023,39.4525477676161,18,294.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-4.52288988797179,0.010857601035843,-4.11996847408184,0.0162450265732553
"Dryophytes squirellus","Amphibia","Anura","Hylidae","Dryophytes","squirellus",2,0.002,0.0172546452441754,"W",28,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-6.21460809842219,-4.05967388223927,38.5355036554682,19,301.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-5.59733534680441,0.00370773038063291,-5.29841481184797,0.0049995127972385
"Dryophytes squirellus","Amphibia","Anura","Hylidae","Dryophytes","squirellus",2.27,0.00227,0.0006787299999999,"W",27,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-6.08797544748883,-7.29528715308042,38.6638911405773,80,300.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-5.52464483507606,0.00398728458430188,-5.22572430011965,0.00537646437550452
"Dryophytes versicolor","Amphibia","Anura","Hylidae","Dryophytes","versicolor",2.2,0.0022,0.0017226,"W",19,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-6.11929791861787,-6.3639205016092,39.7226319556538,81,292.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-5.77239047403701,0.0031123087214455,-5.23343485661777,0.00533516825580597
"Dryophytes versicolor","Amphibia","Anura","Hylidae","Dryophytes","versicolor",9,0.009,0.0814540597121181,"W",19.3,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-4.71053070164592,-2.50771610217905,39.6818838291819,20,292.45,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-4.65419718750996,0.00952155419706015,-4.11524157009071,0.0163219970268562
"Eleutherodactylus coqui","Amphibia","Anura","Eleutherodactylidae","Eleutherodactylus","coqui",30.7,0.0306999999999999,0.0093941999999999,"W",20,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-3.48349262438899,-4.66766280141875,39.5871292029482,82,293.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-3.667762789961,0.0255335299648275,-3.94695750537532,0.0193133733106947
"Eleutherodactylus coqui","Amphibia","Anura","Eleutherodactylidae","Eleutherodactylus","coqui",5,0.005,0.0113973193729441,"W",20,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-5.29831736654804,-4.47437709395627,39.5871292029482,21,293.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-5.09719949583679,0.00611384445984188,-5.37639421125114,0.00462446675328868
"Eurycea longicauda","Amphibia","Caudata","Plethodontidae","Eurycea","longicauda",1,0.001,0.0034377777777777,"W",15,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-6.90775527898214,-5.67293001117346,40.2740479814134,22,288.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-6.50959687164674,0.00148907989240355,-6.99336233528261,0.000917954864941763
"Eurycea longicauda","Amphibia","Caudata","Plethodontidae","Eurycea","longicauda",1.14,0.00114,0.00042864,"W",15,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-6.77672701657573,-7.75489315216798,40.2740479814134,84,288.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-6.40639318291589,0.00165096851759292,-6.89015864655174,0.00101775236528372
"Geotrypetes seraphini","Amphibia","Gymnophiona","Dermophiidae","Geotrypetes","seraphini",2,0.002,0.0025602673953715,"W",20,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-6.21460809842219,-5.96764357462833,39.5871292029482,23,293.15,-5600.94468722638,4753.10106532136,0.931797137007782,-0.305173090550027,0.000517052968916991,FALSE,TRUE,-5.81891084072208,0.00297083910028421,-6.54147367172136,0.00144236136490137
"Geotrypetes seraphini","Amphibia","Gymnophiona","Dermophiidae","Geotrypetes","seraphini",1.9,0.0019,0.000817,"W",20,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-6.26590139280974,-7.10987146310427,39.5871292029482,86,293.15,-5600.94468722638,4753.10106532136,0.931797137007782,-0.305173090550027,0.000517052968916991,FALSE,TRUE,-5.85931172134686,0.00285320680835258,-6.58187455234616,0.00138525013557533
"Hydromantes platycephalus","Amphibia","Caudata","Plethodontidae","Hydromantes","platycephalus",2,0.002,0.0047883333333333,"W",15,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-6.21460809842219,-5.341572875219,40.2740479814134,24,288.15,-5126.81836119685,-1622.5901421774,27.3461553712044,-1.52597053816768,0.00220570966094921,FALSE,TRUE,-5.96364331511326,0.00257052964152011,-6.56942082634005,0.00140260953143072
